Z,A
1.0,1.0
1.0,2.0
2.0,3.0
2.0,4.0
2.0,6.0
2.0,8.0
3.0,6.0
3.0,7.0
3.0,8.0
3.0,9.0
3.0,11.0
4.0,7.0
4.0,9.0
4.0,10.0
4.0,11.0
5.0,10.0
5.0,11.0
6.0,12.0
6.0,13.0
6.0,14.0
7.0,14.0
7.0,15.0
8.0,16.0
8.0,17.0
8.0,18.0
9.0,19.0
10.0,17.0
10.0,18.0
10.0,19.0
10.0,20.0
10.0,21.0
10.0,22.0
10.0,23.0
10.0,24.0
10.0,25.0
10.0,26.0
10.0,28.0
11.0,20.0
11.0,21.0
11.0,22.0
11.0,23.0
11.0,24.0
11.0,25.0
11.0,26.0
11.0,27.0
11.0,28.0
11.0,29.0
11.0,30.0
11.0,31.0
12.0,24.0
12.0,25.0
12.0,26.0
13.0,27.0
13.0,40.0
13.0,44.0
14.0,28.0
14.0,29.0
14.0,30.0
15.0,31.0
16.0,32.0
16.0,34.0
16.0,36.0
17.0,35.0
17.0,37.0
18.0,32.0
18.0,33.0
18.0,34.0
18.0,35.0
18.0,36.0
18.0,37.0
18.0,38.0
18.0,39.0
18.0,40.0
18.0,41.0
18.0,42.0
18.0,43.0
18.0,44.0
18.0,46.0
19.0,38.0
19.0,39.0
19.0,40.0
19.0,41.0
19.0,42.0
19.0,43.0
19.0,44.0
19.0,45.0
19.0,46.0
19.0,47.0
20.0,39.0
20.0,40.0
20.0,41.0
20.0,42.0
20.0,43.0
20.0,44.0
20.0,45.0
20.0,46.0
20.0,47.0
20.0,48.0
20.0,50.0
21.0,42.0
21.0,43.0
21.0,44.0
21.0,45.0
21.0,46.0
22.0,44.0
22.0,45.0
22.0,46.0
22.0,47.0
22.0,48.0
22.0,49.0
22.0,50.0
23.0,51.0
24.0,50.0
24.0,52.0
24.0,53.0
24.0,54.0
25.0,50.0
25.0,51.0
25.0,52.0
25.0,53.0
25.0,54.0
25.0,55.0
25.0,56.0
26.0,54.0
26.0,56.0
26.0,57.0
26.0,58.0
27.0,59.0
28.0,58.0
28.0,60.0
28.0,61.0
28.0,62.0
28.0,64.0
29.0,63.0
29.0,65.0
30.0,64.0
30.0,66.0
30.0,67.0
30.0,68.0
30.0,70.0
31.0,69.0
31.0,71.0
32.0,70.0
32.0,72.0
32.0,73.0
32.0,74.0
32.0,76.0
33.0,75.0
34.0,74.0
34.0,76.0
34.0,77.0
34.0,78.0
34.0,80.0
34.0,82.0
35.0,79.0
35.0,81.0
36.0,72.0
36.0,74.0
36.0,75.0
36.0,76.0
36.0,77.0
36.0,78.0
36.0,79.0
36.0,80.0
36.0,81.0
36.0,82.0
36.0,83.0
36.0,84.0
36.0,85.0
36.0,86.0
36.0,87.0
36.0,88.0
36.0,89.0
36.0,90.0
36.0,91.0
36.0,92.0
36.0,93.0
36.0,94.0
36.0,95.0
36.0,96.0
37.0,76.0
37.0,77.0
37.0,78.0
37.0,79.0
37.0,80.0
37.0,81.0
37.0,82.0
37.0,83.0
37.0,84.0
37.0,85.0
37.0,86.0
37.0,87.0
37.0,88.0
37.0,89.0
37.0,90.0
37.0,91.0
37.0,92.0
37.0,93.0
37.0,94.0
37.0,95.0
37.0,96.0
37.0,97.0
37.0,98.0
38.0,77.0
38.0,78.0
38.0,79.0
38.0,80.0
38.0,81.0
38.0,82.0
38.0,83.0
38.0,84.0
38.0,85.0
38.0,86.0
38.0,87.0
38.0,88.0
38.0,89.0
38.0,90.0
38.0,91.0
38.0,92.0
38.0,93.0
38.0,94.0
38.0,95.0
38.0,96.0
38.0,97.0
38.0,98.0
38.0,99.0
38.0,100.0
39.0,86.0
39.0,87.0
39.0,88.0
39.0,89.0
39.0,90.0
39.0,92.0
39.0,93.0
39.0,94.0
39.0,95.0
39.0,96.0
39.0,97.0
39.0,98.0
39.0,99.0
39.0,100.0
39.0,101.0
39.0,102.0
40.0,87.0
40.0,88.0
40.0,89.0
40.0,90.0
40.0,91.0
40.0,92.0
40.0,94.0
40.0,96.0
40.0,97.0
40.0,98.0
40.0,99.0
40.0,100.0
40.0,101.0
40.0,102.0
41.0,90.0
41.0,91.0
41.0,92.0
41.0,93.0
41.0,99.0
41.0,101.0
41.0,103.0
42.0,90.0
42.0,91.0
42.0,92.0
42.0,94.0
42.0,95.0
42.0,96.0
42.0,97.0
42.0,98.0
42.0,100.0
42.0,102.0
42.0,103.0
42.0,104.0
42.0,105.0
42.0,106.0
42.0,108.0
44.0,96.0
44.0,98.0
44.0,99.0
44.0,100.0
44.0,101.0
44.0,102.0
44.0,104.0
45.0,103.0
46.0,102.0
46.0,104.0
46.0,105.0
46.0,106.0
46.0,108.0
46.0,110.0
47.0,101.0
47.0,103.0
47.0,104.0
47.0,105.0
47.0,107.0
47.0,109.0
48.0,102.0
48.0,103.0
48.0,104.0
48.0,105.0
48.0,106.0
48.0,107.0
48.0,108.0
48.0,109.0
48.0,110.0
48.0,111.0
48.0,112.0
48.0,113.0
48.0,114.0
48.0,115.0
48.0,116.0
48.0,118.0
48.0,120.0
49.0,104.0
49.0,105.0
49.0,106.0
49.0,107.0
49.0,108.0
49.0,109.0
49.0,110.0
49.0,111.0
49.0,112.0
49.0,113.0
49.0,114.0
49.0,115.0
49.0,116.0
49.0,117.0
49.0,118.0
49.0,119.0
49.0,120.0
49.0,121.0
49.0,122.0
49.0,123.0
49.0,124.0
49.0,125.0
49.0,126.0
49.0,127.0
50.0,108.0
50.0,109.0
50.0,110.0
50.0,111.0
50.0,112.0
50.0,113.0
50.0,114.0
50.0,115.0
50.0,116.0
50.0,117.0
50.0,118.0
50.0,119.0
50.0,120.0
50.0,121.0
50.0,122.0
50.0,123.0
50.0,124.0
50.0,125.0
50.0,126.0
50.0,127.0
50.0,128.0
50.0,129.0
50.0,130.0
50.0,131.0
50.0,132.0
51.0,121.0
51.0,123.0
52.0,116.0
52.0,118.0
52.0,120.0
52.0,122.0
52.0,123.0
52.0,124.0
52.0,125.0
